fos_id,fos_name
2776973623,Legal deposit
179158327,Palaeogeography
534701709,Old Testament
2780710533,Governo
2778877831,Cryptosporidium
2780997048,Digital footprint
2910534252,Newsclipping
2779096232,Hydraulic fracturing
142796444,Nutrient
155868670,Root system
53007507,Browning
6363049,Volcanism
2982719622,Video broadcast
2779081413,AM stereo
85675897,Soil management
2780942940,Stishovite
2779914258,Nili-Ravi
2777425756,Gold panning
2993139054,Water buffalo
2780818791,Teletext
2775944640,Utopia
51417038,Phenology
2776684731,Garcia
2777122596,Praxis
122959257,Seismic tomography
21441200,Mineral physics
156005406,Subsistence agriculture
2778452349,Rural poverty
92596616,Lineament
2993492720,Gold production
172353545,Ripening
50379869,Hermeneutics
2778882853,Phlogopite
2776527531,Persian
2909619495,Food animal
2987034934,Earth crust
2779552062,Roe deer
54924851,Sustainable agriculture
18296254,Skepticism
2993555337,Personal branding
2775858120,Memoria
2779980370,Magma ocean
119477230,Plate tectonics
167919410,Metasomatism
109162521,Soil conservation
45292766,Bark
2779371384,Biomass
150999391,Terrane
2985692548,Crisis informatics
2778412320,iPhoneography
2910250570,Newspapers as Topic
2775891814,Weed
43143990,Conidium
2986426982,Social stream
2993240939,Online activism
2777222677,Worship
2779728303,Pride
2909031412,Gallus gallus domesticus
2993437602,Rock structure
2779885849,Milking
2778896172,Manifesto
2984648278,Ambient awareness
2777452754,TV-Anytime
50660011,Tropics
112939947,Green Revolution
2777222942,Corriedale
2777612826,Insect
2994289516,Geological investigation
2779742380,Gabion
110041135,Thrust fault
2993054622,Core formation
46610780,Hinduism
2988676352,Rural development
2778471503,Basin and Range Province
159750122,Soil water
53657456,Peat
122690726,"Land use, land-use change and forestry"
140230471,Planetary core
543192267,Magic (paranormal)
159789966,Lingua franca
2992547679,Land mine
128758860,Woody plant
2779742664,Broadcast address
2992330363,Urban geology
127200247,Hydraulic mining
169081014,Mysticism
2780698354,Broadcast quality
91285054,Broadcast television systems
11872896,Fractional crystallization (geology)
207469975,Shaft mining
2777499811,Ivermectin
3019217387,Crime news
22029948,Dice
10869588,Church history
83529365,Broadcast communication network
27206212,Theology
51151373,Mid-ocean ridge
507981020,Agricultural education
112077630,Irrigation management
2993273313,Chemical control
17616946,Pastoralism
2778134537,Domestic pig
2994012208,Upper crust
154802760,Giant impact hypothesis
2777477151,Prayer
9819579,Tuner
2776222705,Wild boar
173419221,Crossbreed
3987366,Livelihood
84372278,Peridotite
2776632002,Legume
2780719635,Flavor
152212766,The Republic
2777257828,Virtual archaeology
2994104004,Broadcast service
74216064,Social computing
2993865493,Social data analytics
2985624630,Broadcasting system
2987325470,Social commerce
2992730755,Agricultural development
2984029112,Social mining
32198211,Greenhouse
2780079832,Digital multimedia broadcasting
52991690,Culling
2777474537,Pheasant
127723449,Core–mantle boundary
9992130,Pessimism
129225989,Cash crop
46517748,Drift mining
2993676337,Broadcast transmission
2908605944,Meleagris gallopavo
5166401,Tailings
513193947,Fodder
113522999,Fall of man
2776797426,Biogeosciences
2779429622,Litter
136752280,Geodynamics
2992990004,Solid rock
143128703,Middle Ages
2779197568,Sunflower
2777146433,Badger
193605714,Steam shovel
88972607,Human fertilization
81959379,Broadcasting
88862950,Irrigation
2779883265,Electronic program guide
2993172631,Social news
194775826,Herd
2991922516,Rock pressure
2777481183,Market access
2776211767,Doctrine
2776908094,Anthelmintic
22512106,Shear wave splitting
184977646,Open-pit mining
2776747608,Brassica
201867031,Continental margin
2781368420,Biosecurity
2776327621,Flesh
159505674,Broadcasting of sports events
32772713,Charisma
2988338654,News sharing
2986347997,Wireless broadcasting
2992067306,Mineral potential
74256435,Flood myth
2780356177,Baltic Shield
521751864,Christian ministry
123963621,Integrated pest management
58348228,Auteur theory
2777151259,Mallophaga
2779438827,Television station
118817206,Organic farming
2910651670,Bird Diseases
2780138947,Dry matter
197321923,Cultivar
207581243,Agrochemical
16670881,Neotectonics
141005173,Shifting cultivation
130979935,Ansatz
2779213998,Mobile television
2779070535,Street gutter
2779438500,Honor
159719176,Engineering geology
2777178263,Land reform
2778729106,Social media analytics
155030161,Mass communication
2780695499,Social media mining
196227537,Broadcast transmitter
2910164855,Logging car
9299846,Secularization
64476972,Sustainable Agriculture Innovation Network
7028197,Gangue
79572550,Partial melting
2911060314,Laboratory Animal Science
21410773,Shoot
97490223,Focal mechanism
180362636,Thrust tectonics
2777994876,Pacific Plate
2988327197,Online harassment
75699723,Buddhism
75639521,Field experiment
66914385,Poultry farming
157140304,Agrarian society
2776629827,Panasqueira
2992306869,Satellite television
2776373379,Chlorophyll
2982966219,Plant growth
102044607,Adit
2993426613,Arabic sentiment analysis
166839181,Graben
2777992645,North American Plate
2779329348,Feedlot
150772632,Arid
2777461220,Germplasm
2776242653,Pepper
2987442367,Tv viewer
168568655,Medical entomology
61968832,Animal husbandry
118518473,Agriculture
2776757517,Newspaper digitization
23148476,Seismic anisotropy
201280247,Newspaper
100701293,Germination
2779867394,Bubalus
2781179785,Valencia
2987376390,Electronic word of mouth
2987005673,Broadcast scheduling
2909771501,Goat Diseases
2780563676,Aroma
47136581,Agricultural machinery
2993003885,Land area
129454956,Field research
16189245,News bureau
2778157034,Sorghum
2779824472,Herb
2780618852,Pollen
2778136425,Struthio
185476388,Cotyledon
97842125,Rock mechanics
75296557,Husk
49799701,Xylem
503923677,Social web
2779370140,Forage
2777108408,Sugar
2778838397,Uses and gratifications theory
37923429,Intensive farming
76960060,Umwelt
2779021329,Destiny
183384803,Automatic dependent surveillance-broadcast
2437467,Perfection
2777963300,Ovis
167275870,Media system dependency theory
2909895380,Guinea fowl
2987586235,Multimedia broadcasting
2781191505,DAB ensemble
2777438998,Tribunal
549605437,Food security
2779103253,Duty
56859440,Bouguer anomaly
2985889538,Social media marketing
16674752,Mining engineering
2909086881,Stone quarry
2779422593,Soil crust
38304854,Manure
2994460426,Pig farms
137776501,Point of delivery
101293273,User-generated content
42211076,Reliable Sources
2775976403,Aphid
2991920864,Community radio
2779557943,Canis
2781207809,South American Plate
51832835,Environmental management system
186096623,Ground pressure
128383755,Agricultural productivity
81461190,Temperate climate
46580973,Blackdamp
161487207,Derecho
55322685,Media conglomerate
2775835988,Grassland
2992974802,Geological exploration
2776305542,Problema
2993531722,Zea mays
2777370179,Social media measurement
2778749970,Conditional access
2910990604,Lama glama
2988833398,Social event detection
101000010,Canopy
2780968714,Mange
128361363,Symbol
2777199308,Louse
137660486,Growing season
2991667299,Capra hircus
2776475172,Soil quality
523966790,Animal welfare
182744844,Metaphysics
2780460740,Jackal
2776698055,Crust
2988547615,Speech summarization
2779056648,International broadcasting
2779829227,Vitality
2776451879,Infestation
168197293,Pollination
529147693,News media
2776134716,Sacrifice
2778226015,Capreolus
202050865,Hectare
556509198,Public broadcasting
2776286235,Phaseolus
139496715,Deforestation
189797535,Drought tolerance
2777582232,CONTEST
2780422510,Humanity
2780564743,Social CRM
2985711970,Mobile broadcast
91304198,Hebrew
113052830,Land degradation
2780414537,Maple
6557445,Agronomy
85582077,Paddy field
150152722,Judaism
167752473,News values
2909623323,Waste Dumps
2991862235,Animal health
199007388,Diapir
2779106878,Digital audio broadcasting
2776585538,Agenda-setting theory
23295444,Shear zone
2776247511,Zebu
2776521926,Brahman
2776960312,Hock
2777514068,Broadcast band
57664001,Agroecosystem
2994534981,Television channel
2776977481,Dairy cattle
2777239683,Virtue
2777201227,Overburden
144027150,Horticulture
92047909,Hyperbolic function
77757571,Multimedia Broadcast Multicast Service
2993199473,Plant biochemistry
2993808335,Seismic velocity
1670747,Agribusiness
2988996608,Online engagement
60136833,Social media optimization
183889291,Crop residue
2988622424,Social multimedia
2780739461,Compost
120217122,Precision agriculture
83948199,Incompatible element
2911210907,Support pressure
68163228,Radio Data System
27362006,Gestalt psychology
2778002360,Rump
137580998,Crop
141282968,Plant ecology
24461792,Perennial plant
16942324,Lithosphere
2778839144,Medical geology
559400886,Land management
133979268,Vision
2775898560,Common Agricultural Policy
110157686,Broadcasting (networking)
2778553611,1seg
2776727279,Heaven
93746451,Mineral redox buffer
2778182169,Jako
2779461089,FM broadcasting
2992647939,Consumer engagement
3020113513,Small ruminant
2992407798,Iron mining
2776847985,Single-frequency network
173853756,Dialog box
2777617010,Mainstream
2778402112,Agricultural extension
943373,Atomic broadcast
2778375701,Ground stone
540442320,Pest control
2778143190,Minnesota Geological Survey
2984157484,Mining industry
2987348774,Broadcast data
150668497,Dry weight
2778053677,Pasture
164105321,Catalan
2780822299,Soul
41242791,Rock mass classification
2780310893,Passion
7251660,Structural geology
2992406196,Waste dump
2991870026,Social media network
37523158,Hadean
2776313748,Broadcast range
2780043312,Hydraulic fill
2780284631,Sire
2781287369,Stuttgart
2908982167,Cattle Diseases
41062264,Digital broadcasting
2780441040,Slacktivism
8824402,Landslides vs. Rock strength
2910514300,Root stones
39511330,Logo
2780054949,Spinach
168741863,Sowing
104727253,Biological pest control
2779111255,History of journalism
3017803470,Crust formation
2777695277,DVB-H
2780580889,Panorama
2776911728,Courage
23923706,Ophiolite
156663261,Agroecology
83559648,Croatian
33556824,Hydrogeology
2776915394,Customer engagement
3018846106,Fear of missing out
61783943,Luck
2776082042,Vulpes
2780756850,News design
183135511,Natural resource management
2777786777,Flea
83740816,Gibberellin
178408851,Content marketing
